price_code,section_code,section_name,estimate_line_name,unit,line_type,current_price_from_calculator,source_file,confidence
roof_vapor_barrier_film_technonikol_120mk_m2,flat_roof,КРОВЕЛЬНОЕ ПОКРЫТИЕ ДОМА,"Пленка пароизоляция ТехноНИКОЛЬ 120 мкм, 150 м2/рул",м2,materials,35,experiments/flat_roof_calculator/cases/test_flat_roof_usv/result.json,from_calculator_result
sand_concrete_bag,load_bearing_walls_lintels,Несущие стены и перемычки,Пескобетон М300 40 кг,шт,,375,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
sand_filling_work_m3,earthworks,Земляные работы,"Отсыпка дна котлована, засыпка под плитой песком с трамбованием",м3,,1200,experiments/earthworks_calculator/output/usv_yusupovo_village/earthworks_result.json,from_calculator_result
sand_filling_work_m3,earthworks,Земляные работы,Отсыпка дна под плиту и под ростверк песком с трамбованием,м3,,1000,experiments/earthworks_calculator/output/horoshevka_14/earthworks_result.json,from_calculator_result
sand_m3,earthworks,Земляные работы,Песок строительный,м3,,1000,experiments/earthworks_calculator/output/horoshevka_14/earthworks_result.json,from_calculator_result
sand_m3,earthworks,Земляные работы,Песок строительный,м3,,1550,experiments/earthworks_calculator/output/usv_yusupovo_village/earthworks_result.json,from_calculator_result
sand_manual_moving_m3,earthworks,Земляные работы,Перемещение песка вручную,м3,,,experiments/earthworks_calculator/output/horoshevka_14/earthworks_result.json,from_calculator_result
sand_manual_moving_m3,earthworks,Земляные работы,Перемещение песка вручную,м3,,,experiments/earthworks_calculator/output/usv_yusupovo_village/earthworks_result.json,from_calculator_result
scaffolding_setup_dismantling_work_set,load_bearing_walls_lintels,Несущие стены и перемычки,"Устройство лесов, подмостей для кладки, демонтаж лесов",компл,,20000,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
schiedel_delivery_truck,schiedel_vent_channels,ВЕНТИЛЯЦИОННЫЕ КАНАЛЫ Schiedel,Доставка вентканалов,маш,material_and_work,15000,experiments/schiedel_vent_channels_calculator/cases/test_schiedel_vent_channels_usv/result.json,from_calculator_result
schiedel_vent_channel_2x_36_25_item,schiedel_vent_channels,ВЕНТИЛЯЦИОННЫЕ КАНАЛЫ Schiedel,"Вентиляционный канал 2х,36/25 см Schiedel",шт,materials,504,experiments/schiedel_vent_channels_calculator/cases/test_schiedel_vent_channels_usv/result.json,from_calculator_result
schiedel_vent_channel_3x_52_25_item,schiedel_vent_channels,ВЕНТИЛЯЦИОННЫЕ КАНАЛЫ Schiedel,"Вентиляционный канал 3х,52/25 см Schiedel",шт,materials,720,experiments/schiedel_vent_channels_calculator/cases/test_schiedel_vent_channels_usv/result.json,from_calculator_result
technical_supervision_fixed,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Технический надзор,-,manual_fixed_work,5000.000000,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json,from_calculator_result
technical_supervision_fixed,foundation_slab,Устройство фундаментной плиты,Технический надзор,-,,10000,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json,from_calculator_result
technical_supervision_fixed,load_bearing_walls_lintels,Несущие стены и перемычки,Технический надзор,-,,10000,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
thermal_insert_installation_work_m,foundation_slab,Устройство фундаментной плиты,Устройство и монтаж термовкладыша 150*400*250мм шаг 200мм,мп,,100,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json,from_calculator_result
timber_formwork_installation_work_m2,foundation_slab,Устройство фундаментной плиты,Монтаж опалубки из пиломатериалов для отбортовки плиты,м2,,,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json,from_calculator_result
timber_m3,floor_slab_1,Ж/Б монолитная плита перекрытия 1-го этажа,Пиломатериал обрезной для устройства опалубки ГОСТ,м3,materials,21499.997319,experiments/floor_slab_1_calculator/output/test_floor_slab_1/floor_slab_1_result.json,from_calculator_result
timber_m3,floor_slab_2,Ж/Б МОНОЛИТНАЯ ПЛИТА ПЕРЕКРЫТИЯ 2-го этажа на отм. +4.680 (200мм),Пиломатериал обрезной для устройства опалубки ГОСТ,м3,materials,21500.0,experiments/floor_slab_2_calculator/cases/test_floor_slab_2/result.json,from_calculator_result
timber_m3,foundation_slab,Устройство фундаментной плиты,Пиломатериал обрезной хвойных пород ГОСТ,м3,,21500,experiments/foundation_slab_calculator/output/test_foundation_slab/foundation_slab_result.json,from_calculator_result
timber_m3,load_bearing_walls_lintels,Несущие стены и перемычки,Пиломатериал для устройства лесов,м3,,21500,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
u_block_lintel_cutting_item,load_bearing_walls_lintels,Несущие стены и перемычки,Резка блока под перемычку (U-блок),шт,,400,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
waste_removal_truck,load_bearing_walls_lintels,Несущие стены и перемычки,Вывоз мусора с объекта,маш,,10000,experiments/load_bearing_walls_lintels_calculator/output/test_load_bearing_walls_lintels/load_bearing_walls_lintels_result.json,from_calculator_result
